alpha_two_code,Name,web_pages,state-province,domains,Address,logo,logo_flag,city
FR,Ecole Polytechnique,['http://www.polytechnique.fr/'],,,France,https://www.topuniversities.com/sites/default/files/profiles/logos/ecole-polytechnique_592560cf2aeae70239af4b36_large.jpg,TRUE,P
FR,Ecole Supérieure de Commerce de Grenoble,['http://www.esc-grenoble.fr/'],,,France,http://www.esc-grenoble.fr/assets/logo_eolas.svg,TRUE,
FR,Institut National Polytechnique de Grenoble,['http://www.inpg.fr/'],,,France,https://www.grenoble-inp.fr/medias/photo/logo-cti_1521715217794-png?ID_FICHE=691545,TRUE,
FR,Université de Bourgogne,['http://www.u-bourgogne.fr/'],,,France,https://www.engagement.fr/wp-content/uploads/2021/02/Universite_de_Bourgogne_Logo.svg_-1536x939.png,FALSE,Dijon
FR,Université de Franche-Comté,['http://www.univ-fcomte.fr/'],,,France,https://www.univ-fcomte.fr/sites/all/themes/ufc_central/logo.png,TRUE,Besançon
FR,Université de Marne la Vallée,['http://www.univ-mlv.fr/'],,,France,http://djalil.chafai.net/blog/wp-content/uploads/2013/07/Universit%C3%A9_Marne-la-Vall%C3%A9e_Logo-300x102.png,FALSE,
FR,Université Joseph Fourier (Grenoble I),['http://www.ujf-grenoble.fr/'],,,France,https://image-parcours.copainsdavant.com/image/750/1095594681/4052928.jpg,FALSE,
FR,Université Pierre et Marie Curie (Paris VI),['http://www.jussieu.fr/'],,,France,https://www.sorbonne-universite.fr/sites/default/files/media/2019-10/logo_4.svg,TRUE,
FR,Université Pierre Mendes-France (Grenoble II),['http://www.upmf-grenoble.fr/'],,,France,https://image-parcours.copainsdavant.com/image/750/2016700918/4052931.jpg,FALSE,
FR,Université Stendhal (Grenoble III),['http://www.u-grenoble3.fr/'],,,France,https://www.univ-grenoble-alpes.fr/jsp-unique-epe/images/fo/logo_epe_NB.png,TRUE,
GB,"Queen Mary and Westfield College, University of London",['http://www.qmw.ac.uk/'],,,United Kingdom,https://www.qmul.ac.uk/media/ow-assets/assets/icons/qm-logo-white.svg,TRUE,
GE,Agricultural University of Georgia,['http://www.agruni.edu.ge/'],,,Georgia,http://www.agruni.edu.ge/sites/default/themes/freeuni/images/agra-logo-2-ka.png,TRUE,Tbilisi
GE,Tbilisi Teaching University,['http://www.tbuniver.edu.ge/'],,,Georgia,https://studenti.mk/wp-content/uploads/2017/08/Tbilisi-Teaching-University-s-BA-Program-in-Business-Administration.png,FALSE,
