Name,Region,Address,Contact,Curriculum
The New Cambridge English School,Karnataka,"The New Cambridge English School,R. P. C. Layout Bangalore, Vijaya Nagar, Bengaluru, Karnataka - 560040 ","['080-23301404-99', '080-23301578']",ICSE
Cambridge Public School,Karnataka,"Cambridge Public School,Ca Site #28 11th Cross 22nd Main Road Sector 1, Bangalore, Bengaluru, Karnataka - 560034 ","['080-22589283', '080-22589281']",ICSE
Cambridge Public School,Karnataka,"Cambridge Public School,C. A. Site #15 Sector-A New Town Bangalore, Yelahanka, Bengaluru, Karnataka ","['080-41279300', '080-41570040']",ICSE
Carmel School,Karnataka,"Carmel School,Padmanabh Nagar II Stage Bangalore, Banashankari, Bengaluru, Karnataka ","['080-26691040', '080-26790932']",ICSE
Carmel High School,Karnataka,"Carmel High School,II-Block III Stage Judges ' Colony West of Chord Road Bangalore, Basaweshwaranagar, Bengaluru, Karnataka - 560079 ",['080-23227015'],ICSE
Carmel Convent School,Karnataka,"Carmel Convent School,Carmelaram P. O., Bangalore, Bengaluru, Karnataka - 560035 ",['080-28439551'],ICSE
The Cathedral High School,Karnataka,"The Cathedral High School,63 Richmond Road, Bangalore, Bengaluru, Karnataka ","['080-25574819', '080-25572656']",ICSE
Vivekananda Educational Centre,Karnataka,"Vivekananda Educational Centre,#1 4th Block East Bangalore, Jayanagar, Bengaluru, Karnataka ","['080-26633167', '080-41211099']",ICSE
St. Charles High School,Karnataka,"St. Charles High School,Kammanahalli Bangalore, St. Thomas Town, Bengaluru, Karnataka ","['080-25421900', '080-25451149']",ICSE
Chinmaya Vidyalaya,Karnataka,"Chinmaya Vidyalaya,#31 15th Main Iv Block Koramangala, Bangalore, Bengaluru, Karnataka ","['080-25538341', '080-25525287']",ICSE
Christ School,Karnataka,"Christ School,Dharmaram College Post Road, Bangalore, Bengaluru, Karnataka ",['080-26684053'],ICSE
Chrysalis High,Karnataka,"Chrysalis High,Survey #219/3 & 219/5 Gunjur Village Varthur Hobli Whitefield Sarjapur Road, Bangalore, Bengaluru, Karnataka ",[''],ICSE
